Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,DGTL,Mi,Dir,,state_id,ID,Latitude,Longitude,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Coverage,Sponsor,Coordination,Last update,YSF Digital Enabled,DG-ID,Features,Mixed-Mode,Web links,D-STAR Enabled,Node,Sources,Grid,Links,Affiliate,EchoLink,IRLP,AllStar,Bandwidth,DMR Enabled,Color Code,IPSC Network,Wide Network,Notes,Nets,Feed,DMR ID,Talkgroups,Rocky Mountain Wide,Southern Colorado,WIRES-X,Location Photo,On-air,Commands,TAC 310,TAC 311,Colorado,Colorado Chat,Local/Cluster,Central Regional,REACT,CO-Park County,Eastern Colorado,P-25 Digital Enabled,NAC,Default Reflector,NXDN Enabled,RAN,NXDN Bandwidth,NXDN Network,Devilshead Local,Local Network,c-Bridge,Talkgroup Network,Worldwide,North America,English,DCI Bridge,Texas,COMM 1,Texas/Oklahoma Regional USA,Northern Colorado Regional,Europe,Southwest USA
145.37,-0.6,141.3,NM5EM,"Wagon Mound, Turkey Mtn",NM,OPEN,,,84.87,SSW,,35,15621,35.98400116,-104.90100098,145.37,144.77,141.3,,Mora,Off-Air,,NMEMA ARC,NMFCC,2017-10-26,,,,,,,,,DM75NX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.06,0.6,77,KB0TUC,Westcliffe,CO,OPEN,,,85.02,NW,,08,7189,38.1347,-105.465,147.06,147.66,77,77,Custer,On-Air,,http://www.qsl.net/rghc,CCARC,2019-08-16,,,E-power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.15,-5,103.5,KB0TUC,Westcliffe,CO,OPEN,,,85.02,NW,,08,248,38.1347,-105.465,448.15,443.15,103.5,103.5,Custer,On-Air,,Royal George ARC,CCARC,2017-03-11,,,E-power.,,http://www.qsl.net/rghc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.775,-25,D116,KB0TUC,Westcliffe,CO,OPEN,,,85.02,NW,,08,7192,38.1347,-105.465,927.775,902.775,D116,D116,Custer,On-Air,,Royal Gorge Amateur Radio Club,CCARC,2012-06-14,,,,,,,,,,,,,,,,,,,,System uses digital PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.325,-5,100,K0JSC,Westcliffe,CO,OPEN,,,85.06,NW,,08,15584,38.1347,-105.466,448.325,443.325,100,100,Custer,On-Air,,,,2017-01-06,,,,,,,,,,Full-time to the The Fun Machine System .,The Fun Machine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919.1,-25,88.5,ND0Q,"Westcliffe, Deer Peak",CO,OPEN,,,85.06,NW,,08,8218,38.1347,-105.466,919.1,894.1,88.5,CSQ,Pueblo,Off-Air,Wide area.,Pueblo HC,CCARC,2016-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.22,0.6,100,NM5ML,"Tres Piedras, San Antonio Mountain",NM,OPEN,,,86.39,WSW,,35,175,36.85969925,-106.01799774,147.22,147.82,100,,Rio Arriba,On-Air,Wide area.,New Mexico Mega Link Assoc,NMFCC,2017-01-23,,,10,,,,,,DM66XU,Full-time to the Mega-Link System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,67,KF5PFO,"Tres Piedras, San Antonio Mountain",NM,OPEN,,,86.45,WSW,,35,19,36.8594017,-106.01899719,146.76,146.16,67,,Rio Arriba,On-Air,"Most of Taos County, eastern Rio Arriba County and the San Luis Valley in Southern Colorado.",Taos ARC,,2016-04-30,,,11,,,,,,DM66XU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,67,KF5PFO,"Tres Piedras, San Antonio Mountain",NM,OPEN,,,88.68,WSW,,35,174,36.64690018,-105.96700287,146.76,146.16,67,,Taos,On-Air,"Wide area: Most of Taos County, Eastern Rio Arriba County and the San Luis Valley in Southern Colorado.",Taos ARC,,2016-08-20,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,141.3,NM5EM,"Tres Piedras, San Antonio Mtn.",NM,OPEN,,,88.68,WSW,,35,15616,36.64699936,-105.96700287,145.175,144.575,141.3,,Taos,Off-Air,,NMEMA ARC,NMFCC,2017-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,67,KF5PFO,"Taos, Picuris Peak",NM,OPEN,E,,90.24,SW,ON - IDLE,35,172,36.24689865,-105.65399933,147.12,147.72,67,,Taos,On-Air,Wide area.,Taos Amateur Radio Club,NMFCC,2017-02-24,,,E-power.,,http://taosarc.org/,,,,DM76EF,,ARRL,828279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.5,0,100,KF5PFO,"Taos, Picuris Peak",NM,OPEN,,,90.27,SW,,35,15606,36.24700165,-105.65499878,51.5,51.5,100,,Taos,On-Air,,Taos ARC,,2017-08-27,,,,,Taos Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.4,-1.6,225.7,KF5PFO,"Taos, Picuris Peak",NM,OPEN,,,90.27,SW,,35,15605,36.24700165,-105.65499878,224.4,222.8,225.7,,Taos,On-Air,,Taos ARC,NMFCC,2017-07-06,,,,,http://taosarc.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
