Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Show Name,Tone Mode,CTCSS,DCS,Tx Power,Skip,Step,Clock Shift,Comment,User CTCSS
395,145.17500,144.57500,600 kHz,Minus,Auto,RRZ Grand Junction GJT,Large,Tone,107.2 Hz,023,High,Off,Auto,Off,8 147 312.00 CO Mesa Grand Junction GJT W0RRZ,1500 Hz
396,147.24000,147.84000,600 kHz,Plus,Auto,RRZ Logan,Large,Tone,79.7 Hz,023,High,Off,Auto,Off,49 153 625.00 UT Cache Logan N7RRZ,1500 Hz
397,145.43000,144.83000,600 kHz,Minus,Auto,SAR Zuni Black rock,Large,Tone,162.2 Hz,023,High,Off,Auto,Off,35 185 602.00 NM McKinley Zuni Black rock KD5SAR,1500 Hz
398,147.14000,147.74000,600 kHz,Plus,Auto,SDC Castle Dale Cedar Mountain,Large,Tone,88.5 Hz,023,High,Off,Auto,Off,49 57 490.00 UT Emery Castle Dale Cedar Mountain K7SDC,1500 Hz
399,147.06000,147.66000,600 kHz,Plus,Auto,SDC Castle Dale Horn Mountain,Large,Tone,88.5 Hz,023,High,Off,Auto,Off,49 54 534.00 UT Emery Castle Dale Horn Mountain K7SDC,1500 Hz
400,147.08000,147.68000,600 kHz,Plus,Auto,SDC Hanksville Ellen Peak,Large,Tone,136.5 Hz,023,High,Off,Auto,Off,49 56 534.00 UT Wayne Hanksville Ellen Peak K7SDC,1500 Hz
401,146.61000,146.01000,600 kHz,Minus,Auto,SDC Monticello Abajo Peak,Large,Tone,88.5 Hz,023,High,Off,Auto,Off,49 60 438.00 UT San Juan Monticello Abajo Peak K7SDC,1500 Hz
402,147.08000,147.68000,600 kHz,Plus,Auto,SDC Scofield Boardinghouse Ridge,Large,Tone,88.5 Hz,023,High,Off,Auto,Off,49 53 534.00 UT Carbon Scofield Boardinghouse Ridge K7SDC,1500 Hz
403,145.31000,144.71000,600 kHz,Minus,Auto,SDC Scofield Ford Ridge,Large,Tone,88.5 Hz,023,High,Off,Auto,Off,49 55 517.00 UT Carbon Scofield Ford Ridge K7SDC,1500 Hz
404,147.32000,147.92000,600 kHz,Plus,Auto,SDC Sunnyside Bruin Point,Large,Tone,88.5 Hz,023,High,Off,Auto,Off,49 58 462.00 UT Carbon Sunnyside Bruin Point K7SDC,1500 Hz
405,147.14000,147.74000,600 kHz,Plus,Auto,SEM Dalhart,Large,Tone,88.5 Hz,023,High,Off,Auto,Off,48 19846 451.00 TX Hartley Dalhart KB8SEM,1500 Hz
406,146.94000,146.34000,600 kHz,Minus,Auto,SLV Monte Vista,Large,Tone,94.8 Hz,023,High,Off,Auto,Off,8 18932 249.00 CO Rio Grande Monte Vista K0SLV,1500 Hz
407,145.28000,144.68000,600 kHz,Minus,Auto,SLW Pueblo,Large,T Sql,100.0 Hz,023,High,Off,Auto,Off,8 18707 154.00 CO Pueblo Pueblo WB0SLW,1500 Hz
408,147.16500,147.76500,600 kHz,Plus,Auto,SNO Albin Peterson Hill,Large,T Sql,114.8 Hz,023,High,Off,Auto,Off,56 28 213.00 WY Laramie Albin Peterson Hill KC7SNO,1500 Hz
409,147.39000,147.99000,600 kHz,Plus,Auto,SNO Carbondale Four Mile Ridge,Large,Tone,107.2 Hz,023,High,Off,Auto,Off,8 259 204.00 CO Garfield Carbondale Four Mile Ridge K0SNO,1500 Hz
410,146.77500,146.17500,600 kHz,Minus,Auto,SNO Cheyenne Denver Hill,Large,T Sql,114.8 Hz,023,High,Off,Auto,Off,56 27 168.00 WY Laramie Cheyenne Denver Hill KC7SNO,1500 Hz
411,147.10500,147.70500,600 kHz,Plus,Auto,SNO Cheyenne North Park,Large,T Sql,91.5 Hz,023,High,Off,Auto,Off,56 26 170.00 WY Laramie Cheyenne North Park KC7SNO,1500 Hz
412,146.82000,146.22000,600 kHz,Minus,Auto,SNO Laramie Beacon Hill,Large,T Sql,114.8 Hz,023,High,Off,Auto,Off,56 9 196.00 WY Albany Laramie Beacon Hill KC7SNO,1500 Hz
413,147.16000,147.76000,600 kHz,Plus,Auto,SNS Salt Lake City Ensign Peak,Large,Tone,127.3 Hz,023,High,Off,Auto,Off,49 244 604.00 UT Salt Lake Salt Lake City Ensign Peak WA7SNS,1500 Hz
