Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Show Name,Tone Mode,CTCSS,DCS,Tx Power,Skip,Step,Clock Shift,Comment,User CTCSS
119,147.04000,147.64000,600 kHz,Plus,Auto,5EM Eagle Nest Touch Me Not,Large,Tone,141.3 Hz,023,High,Off,Auto,Off,35 15635 254.61 NM Colfax Eagle Nest Touch Me Not NM5EM,1500 Hz
120,146.98000,146.38000,600 kHz,Minus,Auto,5EM Grants Mt Taylor,Large,T Sql,141.3 Hz,023,High,Off,Auto,Off,35 5349 470.32 NM Cibola Grants Mt Taylor NM5EM,1500 Hz
121,147.02000,147.62000,600 kHz,Plus,Auto,5EM Santa Fe Tesuque Peak,Large,Tone,141.3 Hz,023,High,Off,Auto,Off,35 15631 351.23 NM Santa Fe Santa Fe Tesuque Peak NM5EM,1500 Hz
122,147.04000,147.64000,600 kHz,Plus,Auto,5EM Santa Rosa Moon Ranch,Large,Tone,141.3 Hz,023,High,Off,Auto,Off,35 15634 434.61 NM Guadalupe Santa Rosa Moon Ranch NM5EM,1500 Hz
123,145.17500,144.57500,600 kHz,Minus,Auto,5EM Tres Piedras San Antonio Mtn,Large,Tone,141.3 Hz,023,High,Off,Auto,Off,35 15616 265.16 NM Taos Tres Piedras San Antonio Mtn. NM5EM,1500 Hz
124,145.37000,144.77000,600 kHz,Minus,Auto,5EM Wagon Mound Turkey Mtn,Large,Tone,141.3 Hz,023,High,Off,Auto,Off,35 15621 318.38 NM Mora Wagon Mound Turkey Mtn NM5EM,1500 Hz
125,147.38000,147.98000,600 kHz,Plus,Auto,5GU Albuquerque,Large,None,100.0 Hz,023,High,Off,Auto,Off,35 24 445.14 NM Bernalillo Albuquerque N5GU,1500 Hz
126,145.41000,144.81000,600 kHz,Minus,Auto,5HO La Cueva,Large,Tone,100.0 Hz,023,High,Off,Auto,Off,35 15622 368.88 NM Santa Fe La Cueva W5HO,1500 Hz
127,146.64000,146.04000,600 kHz,Minus,Auto,5IS Perryton,Large,Tone,88.5 Hz,023,High,Off,Auto,Off,48 383 444.83 TX Ochiltree Perryton K5IS,1500 Hz
128,145.29000,144.69000,600 kHz,Minus,Auto,5ML Albuquerque Sandia Crest,Large,Tone,100.0 Hz,023,High,Off,Auto,Off,35 15 430.01 NM Bernalillo Albuquerque Sandia Crest NM5ML,1500 Hz
129,147.28000,147.88000,600 kHz,Plus,Auto,5ML Bloomfield Harris Mesa,Large,Tone,67.0 Hz,023,High,Off,Auto,Off,35 51 363.03 NM San Juan Bloomfield Harris Mesa NM5ML,1500 Hz
130,147.36000,147.96000,600 kHz,Plus,Auto,5ML Conchas Dam Mesa Rica,Large,Tone,100.0 Hz,023,High,Off,Auto,Off,35 64 405.04 NM San Miguel Conchas Dam Mesa Rica NM5ML,1500 Hz
131,147.28000,147.88000,600 kHz,Plus,Auto,5ML Corona Gallinas Peak,Large,Tone,100.0 Hz,023,High,Off,Auto,Off,35 65 519.27 NM Lincoln Corona Gallinas Peak NM5ML,1500 Hz
132,147.24000,147.84000,600 kHz,Plus,Auto,5ML Cuba Eureka Mesa,Large,Tone,67.0 Hz,023,High,Off,Auto,Off,35 66 362.95 NM Sandoval Cuba Eureka Mesa NM5ML,1500 Hz
133,147.22000,147.82000,600 kHz,Plus,Auto,5ML Gallup Deza Bluffs,Large,Tone,67.0 Hz,023,High,Off,Auto,Off,35 89 479.74 NM McKinley Gallup Deza Bluffs NM5ML,1500 Hz
134,146.66000,146.06000,600 kHz,Minus,Auto,5ML Grants Microwave Ridge,Large,Tone,100.0 Hz,023,High,Off,Auto,Off,35 94 476.50 NM Cibola Grants Microwave Ridge NM5ML,1500 Hz
135,147.28000,147.88000,600 kHz,Plus,Auto,5ML Melrose,Large,Tone,67.0 Hz,023,High,Off,Auto,Off,35 62 501.95 NM Curry Melrose NM5ML,1500 Hz
136,147.26000,147.86000,600 kHz,Plus,Auto,5ML Pecos Elk Mountain,Large,Tone,67.0 Hz,023,High,Off,Auto,Off,35 145 348.78 NM San Miguel Pecos Elk Mountain NM5ML,1500 Hz
137,147.28000,147.88000,600 kHz,Plus,Auto,5ML Raton Sierra Grande,Large,Tone,100.0 Hz,023,High,Off,Auto,Off,35 136 218.35 NM Colfax Raton Sierra Grande NM5ML,1500 Hz
138,147.14000,147.74000,600 kHz,Plus,Auto,5ML Taos Ski Valley,Large,Tone,67.0 Hz,023,High,Off,Auto,Off,35 11288 256.34 NM Taos Taos Ski Valley NM5ML,1500 Hz
139,147.34000,147.94000,600 kHz,Plus,Auto,5ML Tijeras Cedro Peak,Large,Tone,67.0 Hz,023,High,Off,Auto,Off,35 173 443.67 NM Bernalillo Tijeras Cedro Peak NM5ML,1500 Hz
140,147.22000,147.82000,600 kHz,Plus,Auto,5ML Tres Piedras San Antonio Mou,Large,Tone,100.0 Hz,023,High,Off,Auto,Off,35 175 245.37 NM Rio Arriba Tres Piedras San Antonio Mountain NM5ML,1500 Hz
141,147.22000,147.82000,600 kHz,Plus,Auto,5ML Tucumcari Tucumcari Mountain,Large,Tone,100.0 Hz,023,High,Off,Auto,Off,35 177 424.18 NM Quay Tucumcari Tucumcari Mountain NM5ML,1500 Hz
142,147.20000,147.80000,600 kHz,Plus,Auto,5ML Wagon Mound Turkey Mountain,Large,Tone,67.0 Hz,023,High,Off,Auto,Off,35 11289 318.34 NM Mora Wagon Mound Turkey Mountain NM5ML,1500 Hz
143,147.18000,147.78000,600 kHz,Plus,Auto,5PX Dixon Cerro Abajo,Large,T Sql,100.0 Hz,023,High,Off,Auto,Off,35 15923 309.60 NM Rio Arriba Dixon Cerro Abajo KD5PX,1500 Hz
144,147.10000,147.70000,600 kHz,Plus,Auto,5RR Rio Rancho Rainbow,Large,T Sql,100.0 Hz,023,High,Off,Auto,Off,35 139 432.70 NM Sandoval Rio Rancho Rainbow NM5RR,1500 Hz
145,147.08000,147.68000,600 kHz,Plus,Auto,5SC Placitas La Madera,Large,Tone,100.0 Hz,023,High,Off,Auto,Off,35 9768 420.00 NM Sandoval Placitas La Madera NM5SC,1500 Hz
146,147.08000,147.68000,600 kHz,Plus,Auto,5SF Chama Overlook Mtn,Large,Tone,162.2 Hz,023,High,Off,Auto,Off,35 15079 265.95 NM Rio Arriba Chama Overlook Mtn W5SF,1500 Hz
147,147.30000,147.90000,600 kHz,Plus,Auto,5SF Las Vegas Elk Mountain,Large,Tone,162.2 Hz,023,High,Off,Auto,Off,35 115 348.82 NM San Miguel Las Vegas Elk Mountain W5SF,1500 Hz
148,145.19000,144.59000,600 kHz,Minus,Auto,5SF Los Alamos Pajarito Mountain,Large,T Sql,162.2 Hz,023,High,Off,Auto,Off,35 118 357.95 NM Los Alamos Los Alamos Pajarito Mountain W5SF,1500 Hz
149,147.20000,147.80000,600 kHz,Plus,Auto,5SF Santa Fe St Vincent Hospital,Large,Tone,162.2 Hz,023,High,Off,Auto,Off,35 154 368.54 NM Santa Fe Santa Fe St Vincent Hospital W5SF,1500 Hz
150,146.82000,146.22000,600 kHz,Minus,Auto,5SF Santa Fe Tesuque Peak,Large,Tone,162.2 Hz,023,High,Off,Auto,Off,35 153 351.24 NM Santa Fe Santa Fe Tesuque Peak W5SF,1500 Hz
151,146.74000,146.14000,600 kHz,Minus,Auto,5SJ Aztec,Large,Tone,100.0 Hz,023,High,Off,Auto,Off,35 43 359.40 NM San Juan Aztec NM5SJ,1500 Hz
